ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
100_g_at	660	725	237	249	207	275	595	479
1000_at	3032	2920	1507	1299	1227	1117	1204	1439
1001_at	221	103	241	190	303	369	336	355
1002_f_at	94	175	61	185	229	287	2073	2178
1003_s_at	153	168	430	293	699	293	584	685
1004_at	160	447	216	264	773	469	766	889
1005_at	913	1374	707	722	3941	4837	3378	3527
1006_at	21	20	18	8	53	26	20	20
1007_s_at	3554	4880	3299	2932	795	671	750	723
1008_f_at	1747	1641	2827	1543	4101	3037	7531	4200
1009_at	7312	6546	2853	2744	4756	5226	4798	5850
101_at	125	195	29	31	69	113	149	69
1010_at	31	31	31	31	56	42	71	27
1011_s_at	773	690	1364	1256	462	421	172	326
1012_at	19	16	45	72	16	16	12	14
1013_at	86	12	187	184	93	150	47	25
1014_at	687	628	465	504	615	530	109	98
1015_s_at	93	201	101	50	61	49	82	65
1016_s_at	30	24	94	94	52	85	108	114
1017_at	173	174	361	424	150	125	100	28
1018_at	616	667	489	531	271	178	102	147
1019_g_at	1096	1648	1185	974	266	443	598	845
102_at	29	77	94	102	41	44	151	43
1020_s_at	699	791	379	399	1217	1261	2262	2242
1021_at	76	96	172	76	182	157	259	256
1022_f_at	28	63	191	26	96	100	144	205
1023_at	50	46	27	40	240	43	243	120
1024_at	284	159	373	294	427	411	719	797
1025_g_at	162	124	63	30	53	138	542	547
1026_s_at	357	280	387	105	663	336	858	903
1027_at	164	72	299	229	198	164	87	362
1028_at	291	190	275	259	396	366	393	551
1029_s_at	16	57	44	40	15	21	21	76
103_at	187	192	52	33	48	43	87	72
1030_s_at	508	404	1396	1351	955	1144	373	201
1031_at	96	76	561	510	137	136	40	56
1032_at	661	497	769	538	1820	1348	1252	2420
1033_g_at	136	182	235	50	341	269	338	547
1034_at	715	1053	715	678	944	994	1137	979
1035_g_at	429	552	555	545	861	871	642	740
1036_at	49	2	7	7	9	29	92	46
1037_at	34	38	142	166	144	73	181	35
1038_s_at	338	186	457	516	367	488	87	85
1039_s_at	410	154	606	764	319	308	100	101
104_at	252	227	336	301	119	47	70	104
1040_s_at	44	44	216	203	30	44	23	73
1041_at	26	64	36	43	66	20	54	49
1042_at	14	6	62	70	71	95	69	15
1043_s_at	154	105	21	148	144	158	39	67
1044_s_at	115	134	342	372	112	107	57	75
1045_s_at	42	138	167	207	116	197	164	232
1046_at	191	154	432	561	126	127	186	149
1047_s_at	318	155	257	380	3099	3185	2673	3296
1048_at	284	157	233	163	199	131	219	178
1049_g_at	188	303	188	90	109	100	134	196
105_at	149	85	201	134	757	886	1476	1490
1050_at	20	4	2	2	6	3	4	28
1051_g_at	41	40	48	27	43	85	118	124
1052_s_at	993	995	577	647	10262	10048	2057	2181
1053_at	242	257	320	290	297	498	292	270
1054_at	67	62	110	110	99	169	113	45
1055_g_at	188	101	288	386	236	381	280	183
1056_s_at	123	80	104	170	152	202	238	240
1057_at	436	289	364	315	456	394	550	452
1058_at	2891	3284	1143	1183	20	17	60	52
1059_at	67	66	167	73	30	25	10	91
106_at	27	60	75	35	263	317	121	204
1060_g_at	639	361	569	396	644	368	529	831
1061_at	310	207	383	416	556	573	352	538
1062_g_at	197	75	42	66	195	145	42	171
1063_s_at	3422	2872	674	773	98	70	121	66
1064_at	185	120	365	444	115	156	36	10
1065_at	172	129	278	133	237	180	306	207
1066_at	80	54	196	53	266	80	443	515
1067_at	202	169	245	188	339	321	371	601
1068_g_at	88	61	55	50	99	46	160	128
1069_at	85	45	30	9	8	6	48	22
107_at	70	59	49	23	59	72	157	86
1070_at	106	94	151	307	204	216	68	41
1071_at	57	40	50	51	94	67	52	52
1072_g_at	294	226	74	205	213	115	208	150
1073_at	794	475	1536	1477	774	857	508	463
1074_at	305	223	830	991	316	412	123	54
1075_f_at	28	11	69	64	12	44	66	85
1076_at	36	40	92	90	105	44	47	10
1077_at	22	6	15	9	46	16	72	114
1078_at	19	63	21	64	32	52	32	45
1079_g_at	53	65	213	125	346	150	104	212
108_g_at	902	1112	526	408	84	84	120	323
1080_s_at	35	29	16	11	40	10	1120	3269
1081_at	1237	1058	2045	2180	1890	1699	879	1085
1082_at	126	144	393	259	94	91	115	301
1083_s_at	132	228	145	216	219	276	261	506
1084_at	44	72	122	46	56	71	51	64
1085_s_at	316	271	334	404	542	686	635	1017
1086_at	65	76	91	199	116	188	185	348
1087_at	149	172	128	42	1252	1420	64	257
1088_at	129	70	78	67	40	58	12	41
1089_i_at	319	202	34	513	413	353	700	920
109_at	1177	1072	711	877	805	964	1991	1975
1090_f_at	174	57	160	50	42	71	17	79
1091_at	12008	14867	2714	2348	1108	823	435	747
1092_at	237	222	619	526	930	855	920	1530
1093_at	57	63	58	98	333	344	73	127
1094_g_at	179	202	255	248	640	890	291	270
1095_s_at	44	14	15	4	47	90	37	108
1096_g_at	111	51	54	35	86	220	201	112
1097_s_at	195	153	205	175	358	393	641	634
1098_at	24	6	12	10	123	176	82	24
1099_s_at	300	509	133	121	376	75	266	131
110_at	214	208	830	674	1801	1438	234	554
1100_at	417	555	285	318	388	398	428	361
1101_at	1221	823	1027	1109	481	332	492	433
1102_s_at	93	27	89	80	125	169	39	33
1103_at	71	99	160	170	3306	3330	35898	21590
1104_s_at	3711	3374	2547	2412	21250	17625	7700	5260
1105_s_at	1454	1856	1096	1015	1006	730	1628	1249
1106_s_at	400	113	410	378	420	303	565	985
1107_s_at	1368	1435	395	424	998	888	2107	1920
1108_s_at	42	44	44	42	224	314	606	547
1109_s_at	51	48	36	27	46	38	47	42
111_at	612	829	363	424	475	286	1002	757
1110_at	159	121	256	150	236	165	189	333
1111_at	28	29	48	65	49	60	78	60
1112_g_at	385	492	657	742	415	448	576	735
1113_at	36	22	15	14	82	40	19	34
1114_at	266	165	73	81	284	272	134	31
1115_at	48	73	63	54	2311	2895	177	151
1116_at	186	146	445	266	359	314	236	394
1117_at	27	51	65	53	267	287	1090	1302
1118_at	58	27	33	30	45	30	28	55
1119_at	852	742	586	618	638	631	467	544
112_g_at	19	38	142	202	120	110	30	42
1120_at	553	320	591	577	449	388	308	435
1121_g_at	641	505	557	642	190	219	274	373
1122_f_at	756	765	586	550	1103	1019	1134	782
1123_at	41	35	31	32	79	41	35	65
1124_at	952	677	1104	1089	610	590	613	678
1125_s_at	13	12	18	63	16	21	16	24
1126_s_at	40	29	48	60	124	205	125	78
1127_at	394	493	334	175	553	461	538	658
1128_s_at	195	86	252	55	310	180	216	211
1129_at	58	39	25	26	41	50	55	117
113_i_at	710	793	92	145	37	9	14	24
1130_at	2473	1911	1056	841	1062	1255	929	906
1131_at	1629	1766	492	902	1603	1733	1511	1415
1132_s_at	340	256	557	288	770	760	732	937
1133_at	43	27	26	20	77	32	65	68
1134_at	1858	2387	1307	1165	725	868	840	895
1135_at	636	563	689	545	744	591	350	131
1136_at	329	274	317	253	480	527	263	483
1137_at	321	500	262	205	49	209	74	264
1138_at	1423	1150	838	1008	959	1400	177	189
1139_at	16	66	267	288	174	92	51	197
114_r_at	49	26	41	36	43	23	30	25
1140_at	175	220	174	359	58	237	42	259
1141_at	240	157	301	321	267	227	268	375
1142_at	319	175	370	371	678	427	500	528
1143_s_at	293	461	467	501	409	567	125	435
1144_at	43	121	46	133	52	125	68	46
1145_g_at	382	508	363	353	554	349	511	558
1146_at	41	109	51	45	421	542	674	665
1147_at	916	817	2056	2525	344	300	232	178
1148_s_at	174	225	510	553	420	422	84	33
1149_at	36	18	24	37	62	27	32	55
115_at	48	28	624	644	569	583	72	258
1150_at	283	190	332	211	204	69	143	24
1151_at	1221	1033	5966	6049	1452	1666	981	910
1152_i_at	449	307	1000	931	911	1217	985	1748
1153_f_at	156	138	178	206	207	197	333	281
1154_at	591	430	534	797	673	691	602	755
1155_at	368	268	379	335	549	288	371	470
1156_at	45	73	155	60	342	158	131	188
1157_s_at	208	145	101	221	38	120	40	34
1158_s_at	10262	9844	4763	5763	892	750	170	248
1159_at	8	15	6	27	5	8	4	5
116_at	24	97	149	142	158	115	213	180
1160_at	3153	3456	1116	1184	2247	2224	4892	3907
1161_at	13853	13869	8992	10218	7955	6662	10682	6216
1162_g_at	420	499	255	269	358	300	108	408
1163_at	174	181	285	378	84	166	124	48
1164_at	139	139	405	434	185	104	41	85
1165_at	47	49	34	35	45	36	21	35
1166_at	2115	2119	1677	1493	1935	3123	2125	2431
1167_s_at	641	877	1133	650	1525	906	350	1528
1168_at	120	80	92	64	139	69	29	35
1169_at	561	333	199	261	216	208	428	1078
117_at	324	161	366	188	2777	2989	263	497
1170_at	155	91	280	145	173	244	182	393
1171_s_at	85	166	417	321	59	48	56	54
1172_at	34	35	73	55	139	103	50	92
1173_g_at	2139	1429	1549	1613	7140	6506	4178	3513
1174_at	16	7	21	8	24	17	21	19
1175_s_at	16	42	9	9	311	134	18405	17085
1176_at	162	147	253	202	105	109	59	179
1177_at	76	90	111	70	248	28	29	103
1178_at	49	19	255	127	43	125	51	158
1179_at	10337	8268	8329	9025	2626	2482	3615	1970
118_at	1275	1360	29	32	92	25	41	41
1180_g_at	16158	11243	10914	12220	6774	6519	8092	7665
1181_at	131	115	46	55	70	103	80	87
1182_at	205	120	235	253	116	104	116	139
1183_at	36	87	33	24	95	93	25	97
1184_at	804	804	616	690	1316	1478	2228	1623
1185_at	314	226	432	418	661	699	177	648
1186_at	113	91	196	248	26	5	20	7
1187_at	78	237	171	74	113	293	216	228
1188_g_at	36	100	119	50	33	45	39	72
1189_at	555	403	954	1031	522	443	377	674
119_at	102	229	297	359	469	376	702	508
1190_at	18	57	512	506	12	10	10	7
1191_s_at	1237	921	1084	1617	986	1246	836	797
1192_at	1282	955	1031	1089	324	405	310	456
1193_at	71	39	156	141	190	80	100	224
1194_g_at	16	18	186	204	27	30	107	49
1195_s_at	263	190	323	403	142	142	142	80
1196_at	66	129	282	244	594	477	365	133
1197_at	108	125	84	177	323	478	152	297
1198_at	151	51	114	115	8	69	61	34
1199_at	1433	1115	2322	2676	4876	5431	3175	3115
120_at	117	64	199	125	391	370	324	327
1200_at	81	35	55	62	110	92	72	114
1201_at	697	590	409	426	183	135	203	191
1202_g_at	786	713	678	948	397	82	169	277
1203_at	19	25	35	16	15	20	24	42
1204_at	149	43	23	42	45	31	64	54
1205_at	13	31	32	9	19	15	139	19
1206_at	1193	1282	229	387	43	59	74	73
1207_at	103	113	215	172	140	190	39	64
1208_at	57	25	24	45	73	46	45	75
1209_at	18	36	135	97	24	98	20	37
121_at	1975	1856	2016	1401	2424	1540	2991	2656
1210_s_at	61	97	282	205	71	66	61	90
1211_s_at	386	349	333	338	639	585	629	424
1212_at	76	326	124	90	246	566	3447	2453
1213_at	472	345	761	806	209	149	91	83
1214_s_at	13	8	13	9	17	21	13	20
1215_at	31	15	20	17	55	39	81	91
1216_at	225	242	221	251	114	20	32	27
1217_g_at	868	1096	561	656	266	198	183	353
1218_at	771	836	326	101	1047	929	1905	2072
1219_at	45	17	28	24	56	29	43	65
122_at	85	103	56	84	56	61	94	38
1220_g_at	186	256	302	266	406	425	322	485
1221_at	276	319	448	419	402	480	308	528
1222_at	140	102	338	208	137	84	100	33
1223_at	337	447	66	49	350	260	152	466
1224_at	743	1391	664	655	355	554	116	258
1225_g_at	1814	1909	1189	1101	852	1224	995	717
1226_at	167	118	400	416	170	211	25	38
1227_g_at	21	16	89	29	30	20	24	22
1228_s_at	355	374	576	589	905	1199	1406	1213
1229_at	74	67	55	86	136	86	29	22
123_at	68	78	111	100	132	58	112	159
1230_g_at	159	244	252	151	160	245	146	294
1231_at	91	70	150	142	94	94	24	109
1232_s_at	109	80	98	95	15276	17257	1756	2114
1233_s_at	88	645	96	65	187	114	111	140
1234_at	62	136	420	480	110	67	174	307
1235_at	8136	8103	10152	9571	1458	1902	1070	1269
1236_s_at	44	72	367	248	58	42	43	54
1237_at	416	307	569	375	835	960	525	497
1238_at	598	625	673	657	71	244	47	50
1239_s_at	25	27	222	49	413	263	78	52
124_i_at	37	22	28	21	38	22	69	52
1240_at	53	170	343	231	491	543	248	408
1241_at	2310	2712	2036	2033	831	972	612	1013
1242_at	480	740	227	370	462	618	445	294
1243_at	301	254	351	385	353	326	446	409
1244_at	342	405	639	576	716	568	843	572
1245_i_at	147	78	336	300	175	189	45	176
1246_at	325	944	1800	1174	378	344	229	1032
1247_g_at	66	63	296	317	41	42	94	106
1248_at	496	557	594	611	764	783	639	610
1249_at	119	121	59	103	184	102	98	40
125_r_at	641	780	810	646	932	882	1112	995
1250_at	236	202	370	423	171	268	101	21
1251_g_at	2001	2455	858	1124	793	942	97	135
1252_at	2162	1651	2889	3294	325	406	419	202
1253_at	709	394	793	679	231	217	220	242
1254_at	640	435	787	475	1127	814	667	632
1255_g_at	189	140	285	233	127	158	110	207
1256_at	378	464	976	1184	168	21	19	36
1257_s_at	286	429	73	276	329	509	169	815
1258_s_at	404	285	562	559	235	302	357	364
1259_at	125	178	419	332	249	220	478	564
126_s_at	9	27	22	17	6	12	6	5
1260_s_at	20	4	18	13	259	378	4653	3717
1261_i_at	72	40	44	124	89	407	502	590
1262_s_at	32	66	215	289	26	24	54	20
1263_at	139	65	147	94	285	237	111	388
1264_at	55	55	126	123	40	10	25	39
1265_g_at	11	7	142	182	8	19	14	25
1266_s_at	65	29	31	162	36	42	162	56
1267_at	73	53	112	42	164	247	67	84
1268_at	5848	7922	4085	3945	2219	1874	3793	2885
1269_at	429	236	751	746	194	158	118	206
127_at	187	39	74	56	110	87	86	178
1270_at	3053	3450	1698	1968	935	1218	642	744
1271_g_at	672	794	966	790	835	862	1298	1265
1272_at	225	168	522	582	387	466	190	157
1273_r_at	438	380	525	511	908	778	625	824
1274_s_at	705	814	504	612	1286	1490	1440	1348
1275_at	76	41	43	66	119	61	57	67
1276_g_at	269	112	190	126	1503	1279	584	576
1277_at	489	495	485	140	659	578	826	857
1278_at	298	427	41	204	236	206	335	173
1279_s_at	60	42	66	32	86	54	77	87
128_at	42	70	61	89	49	84	48	57
1280_i_at	932	373	714	249	874	430	547	791
1281_f_at	37	8	60	16	32	72	33	35
1282_s_at	94	138	105	81	177	50	249	194
1283_at	16	5	29	78	21	18	21	19
1284_at	206	105	545	528	59	58	11	63
1285_at	31	54	146	96	34	14	27	26
1286_s_at	22	6	7	20	7	2	11	11
1287_at	2175	2080	1625	1468	1349	1117	669	534
1288_s_at	26822	21693	38604	44157	37376	29576	44281	28469
1289_at	285	119	267	375	299	184	314	122
129_g_at	45	51	47	30	144	70	57	46
1290_g_at	233	409	181	73	308	327	115	673
1291_s_at	154	219	298	190	1569	1238	1889	2262
1292_at	81	93	70	54	107	55	56	37
1293_s_at	103	27	37	27	51	36	266	76
1294_at	391	317	174	97	374	389	885	645
1295_at	602	692	792	806	1889	2409	2301	2513
1296_at	93	118	401	331	452	324	126	122
1297_at	26	8	23	17	124	39	54	38
1298_at	31	38	10	30	22	17	88	29
1299_at	17	120	58	152	24	50	11	7
130_s_at	33	53	60	43	74	54	93	135
1300_at	87	53	118	93	139	103	61	135
1301_s_at	56	32	36	25	59	57	63	75
1302_s_at	83	81	278	155	141	135	115	205
1303_at	24	15	41	39	68	73	83	27
1304_at	67	79	22	23	116	32	76	84
1305_s_at	160	215	184	43	1496	1356	11830	9353
1306_at	1056	1074	1045	1110	1796	1874	1923	2414
1307_at	185	165	441	365	93	78	110	78
1308_g_at	238	210	351	385	84	156	28	62
1309_at	2914	2716	751	1025	2418	2924	4533	2509
131_at	218	293	558	497	327	382	291	56
1310_at	3357	3893	1636	1930	3309	3460	6118	4972
1311_at	2066	2218	1553	1839	2029	2058	3029	2408
1312_at	3217	3705	1083	1465	2120	1770	1635	1420
1313_at	930	743	793	721	499	588	556	535
1314_at	934	722	1156	1113	536	527	207	492
1315_at	24570	26307	7286	8305	20129	16409	19658	12014
1316_at	407	382	420	494	364	422	398	521
1317_at	199	217	222	158	306	106	117	357
1318_at	371	392	1002	903	510	574	252	100
1319_at	107	109	41	82	35	31	49	28
132_at	31	77	48	74	78	30	45	39
1320_at	52	49	55	44	87	48	33	40
1321_s_at	102	98	136	163	81	94	86	182
1322_at	88	46	53	160	187	155	130	222
1323_at	22632	18909	12391	13838	35301	25478	31822	22470
1324_at	69	71	98	162	91	70	194	160
1325_at	246	291	387	484	205	258	85	158
1326_at	85	54	130	86	244	200	157	62
1327_s_at	257	155	172	173	39	55	40	136
1328_at	87	30	73	52	61	42	80	138
1329_s_at	298	221	657	597	104	114	141	142
133_at	254	149	310	242	603	467	437	359
1330_at	42	43	69	34	44	42	103	72
1331_s_at	299	184	357	396	553	57	241	92
1332_f_at	374	187	131	39	636	373	495	432
1333_f_at	464	773	279	343	89	290	120	112
1334_s_at	115	70	114	80	188	97	128	122
1335_at	104	85	443	367	398	316	166	273
1336_s_at	4921	3466	1557	2406	183	39	103	232
1337_s_at	38	38	154	118	78	72	78	44
1338_s_at	227	78	242	198	420	359	9351	8978
1339_s_at	266	182	384	341	197	294	267	420
134_at	18	26	133	142	18	15	14	27
1340_s_at	75	53	26	66	178	85	30	106
1341_at	22	16	113	98	242	180	71	229
1342_g_at	47	17	114	81	27	32	39	37
1343_s_at	14	32	19	3	39	10	21	78
1344_at	49	24	31	24	31	29	66	43
1345_s_at	62	23	67	37	95	34	54	48
1346_at	23326	19505	1360	1474	903	375	216	1061
1347_at	642	759	137	235	781	674	362	166
1348_s_at	194	202	278	420	378	358	352	102
1349_at	18	10	32	82	36	16	26	15
135_g_at	103	224	528	443	238	102	50	69
1350_at	19	21	72	34	218	339	1970	2023
1351_at	281	248	68	123	677	872	1119	1138
1352_at	278	229	368	208	315	467	289	577
1353_g_at	185	184	201	100	442	264	284	272
1354_at	396	164	271	244	256	146	252	168
1355_g_at	1833	1439	1357	972	66	29	41	26
1356_at	468	349	463	690	418	443	518	324
1357_at	346	445	260	330	305	339	284	166
1358_s_at	722	807	735	464	1223	1088	618	512
1359_at	51	28	44	44	56	40	27	63
136_at	84	46	76	62	102	80	96	135
1360_at	162	15	150	144	41	130	183	116
1361_at	247	174	419	527	59	113	39	37
1362_s_at	324	478	304	316	331	286	310	360
1363_at	542	524	476	446	182	324	375	289
1364_at	504	325	2787	2902	16	54	13	18
1365_at	36	25	37	37	220	120	262	472
1366_i_at	12369	12791	17416	20255	19432	20242	20222	22621
1367_f_at	13705	15471	13793	16097	16047	17890	16377	14887
1368_at	96	55	11	15	1010	934	380	415
1369_s_at	46	35	50	30	44	104	28	46
137_at	455	206	407	273	5423	4961	780	594
1370_at	363	270	540	359	487	528	609	950
1371_s_at	30	76	68	296	1391	1534	11411	8665
1372_at	56	67	39	72	81	49	99	158
1373_at	219	290	675	604	623	486	220	142
1374_g_at	121	287	844	664	231	308	189	171
1375_s_at	286	309	363	346	395	433	305	354
1376_at	219	224	180	139	310	209	67	47
1377_at	140	159	168	164	258	319	183	363
1378_g_at	308	224	135	111	286	200	195	608
1379_at	123	15	98	153	627	722	489	517
138_at	445	330	170	350	203	292	669	809
1380_at	96	57	50	37	8	6	13	16
1381_at	48	23	210	51	237	59	60	59
1382_at	144	104	264	216	220	228	42	126
1383_at	1291	1314	989	810	476	555	431	324
1384_at	37	8	19	50	62	5	45	16
1385_at	92	69	114	133	1261	1677	1435	1135
1386_at	550	324	655	536	557	441	601	616
1387_at	37	32	18	24	60	51	42	32
1388_g_at	66	27	32	102	127	97	71	149
1389_at	384	48	429	354	110	66	325	128
139_at	258	158	113	266	78	24	41	43
1390_s_at	206	212	406	251	349	263	479	715
1391_s_at	42	33	161	54	3696	3479	20396	17653
1392_at	1412	1497	1327	1245	1634	1293	1083	1750
1393_at	32	69	97	129	151	47	61	45
1394_at	2028	4273	1897	1937	2150	1488	3668	4456
1395_at	1273	1613	1117	1510	2921	2954	2510	2420
1396_at	694	902	677	805	422	436	224	301
1397_at	508	368	475	544	886	849	1012	1573
1398_g_at	814	862	737	772	1742	1559	1851	2059
1399_at	3200	2086	1705	1997	1445	1306	995	604
140_s_at	478	276	764	882	373	498	178	172
1400_at	140	100	179	84	69	219	242	425
1401_g_at	289	263	304	185	211	447	229	657
1402_at	296	343	182	297	477	539	547	402
1403_s_at	109	92	109	90	383	340	649	534
1404_r_at	7	2	4	2	8	2	2	5
1405_i_at	30	10	12	6	31	18	98	44
1406_at	64	20	95	112	106	187	244	299
1407_g_at	72	29	119	97	229	70	88	67
1408_at	177	20	58	8	242	16	127	12
1409_at	605	669	501	525	352	230	452	295
141_s_at	144	192	406	371	96	60	173	95
1410_at	18	14	11	14	22	15	25	19
1411_at	246	152	241	200	93	44	56	21
1412_g_at	51	31	36	38	64	49	73	82
1413_at	11	8	11	8	10	10	30	9
1414_at	21	42	20	55	50	16	19	21
1415_at	867	876	846	714	1034	920	1518	1533
1416_g_at	48	70	33	21	41	39	43	112
1417_at	29	8	13	5	11	9	11	9
1418_at	37	16	28	17	48	19	44	33
1419_g_at	151	165	398	81	518	369	170	122
142_at	29	110	283	284	126	202	29	21
1420_s_at	12122	7288	12451	13524	4298	5652	2114	1995
1421_at	50	68	201	160	71	27	24	34
1422_g_at	258	184	522	428	287	36	149	89
1423_at	233	310	406	398	213	300	231	188
1424_s_at	34332	29799	17652	20797	6495	6151	2395	1705
1425_at	31	32	50	94	50	31	56	26
1426_at	434	304	3632	3778	633	728	390	475
1427_g_at	111	95	1142	1424	286	278	221	158
1428_at	26	16	33	28	47	34	46	63
1429_at	149	123	156	104	198	162	255	267
143_s_at	169	118	260	260	120	101	125	141
1430_at	3221	5131	1325	1411	80	48	43	66
1431_at	119	178	250	251	2780	3039	53404	39709
1432_s_at	622	544	279	205	1007	747	956	1110
1433_g_at	330	338	42	166	180	305	286	159
1434_at	86	95	205	242	129	109	155	168
1435_f_at	15	13	21	12	23	19	137	13
1436_at	46	20	124	26	86	116	146	97
1437_at	252	120	264	123	180	298	257	349
1438_at	72	231	93	122	33	85	68	75
1439_s_at	168	233	141	156	289	290	293	350
144_at	67	149	77	105	220	286	165	104
1440_s_at	98	71	16	48	57	72	83	179
1441_s_at	3	2	4	2	4	1	3	7
1442_at	241	130	404	385	331	191	308	347
1443_at	45	17	35	42	751	624	48	24
1444_at	513	416	280	277	896	1028	1020	865
1445_at	164	132	180	180	571	428	319	369
1446_at	425	290	845	1026	747	730	463	369
1447_at	2260	1357	1497	2143	2985	3143	3229	2592
1448_at	568	269	725	870	324	306	234	71
1449_at	298	153	594	797	377	365	213	237
145_s_at	230	179	198	173	354	308	454	524
1450_g_at	439	266	713	961	443	586	185	186
1451_s_at	95	45	117	94	56	59	52	77
1452_at	2358	2062	4247	5070	357	434	406	534
1453_at	429	260	528	575	242	404	179	185
1454_at	91	189	241	85	135	101	105	132
1455_f_at	342	226	206	228	516	534	9623	7893
1456_s_at	163	61	163	213	152	129	153	105
1457_at	156	54	224	228	135	123	20	91
1458_at	408	291	250	390	634	662	528	704
1459_at	439	284	320	358	205	161	210	302
146_at	753	1021	270	447	430	465	521	181
1460_g_at	750	374	463	505	82	55	22	110
1461_at	1380	1489	870	1286	2914	2356	3266	1825
1462_s_at	60	34	38	33	98	72	98	110
1463_at	342	204	950	1056	253	303	109	74
1464_at	276	254	242	80	678	634	705	752
1465_s_at	17	8	18	9	23	9	11	19
1466_s_at	33	3	18	21	17	38	34	49
1467_at	165	119	550	590	125	220	54	30
1468_at	2408	2967	708	1157	3689	3569	3667	3459
1469_at	1616	1534	1506	1373	2153	1602	2247	2255
147_at	688	456	828	893	935	982	76	195
1470_at	501	789	176	163	320	549	2654	2034
1471_at	23	15	28	7	137	34	40	62
1472_g_at	26	125	20	38	161	135	125	53
1473_s_at	31	4	15	40	65	61	7	67
1474_s_at	25	34	62	87	107	139	84	78
1475_s_at	154	69	101	89	170	92	211	281
1476_s_at	78	135	191	259	155	115	51	210
1477_s_at	172	242	75	261	75	100	1399	1201
1478_at	72	77	122	156	168	126	194	161
1479_g_at	11	3	17	24	19	9	13	30
148_at	336	142	281	159	511	404	269	190
1480_at	173	96	348	330	225	200	108	43
1481_at	122	97	23	66	54	36	108	156
1482_g_at	78	38	49	86	19	15	22	22
1483_at	724	909	971	594	1104	706	1059	707
1484_at	235	123	250	220	87	24	18	89
1485_at	25	2	80	137	12	4	5	6
1486_at	2590	3398	1089	1681	2881	2951	4796	4231
1487_at	759	820	452	288	807	737	1358	1732
1488_at	1354	1069	3137	3330	507	692	672	427
1489_s_at	44	37	58	45	100	60	70	74
149_at	221	246	265	359	511	576	277	360
1490_at	33	16	127	105	40	92	731	422
1491_at	12	29	144	119	11	52	10	10
1492_f_at	259	293	324	300	802	543	11919	10261
1493_r_at	194	55	137	206	287	114	313	259
1494_f_at	543	403	493	419	1058	1069	32774	26755
1495_at	103	111	202	196	368	536	151	207
1496_at	1102	764	784	992	291	212	118	164
1497_at	167	108	387	281	1266	1379	1302	1531
1498_at	174	139	152	126	163	130	266	199
1499_at	1589	700	1708	2114	547	590	360	259
150_at	54	81	318	275	207	187	47	251
1500_at	73	17	36	10	75	13	12	21
1501_at	204	152	534	662	141	31	1530	1441
1502_s_at	10	11	13	10	20	7	24	19
1503_at	39	67	109	72	88	79	81	131
1504_s_at	62	35	262	166	25	16	23	25
1505_at	188	128	202	213	1297	1528	42	210
1506_at	104	126	303	86	717	575	488	342
1507_s_at	126	47	145	108	154	68	22	21
1508_at	184	124	100	47	268	248	308	299
1509_at	84	92	155	115	106	204	15	247
151_s_at	15068	19272	32127	36335	18488	15692	11566	9323
1510_g_at	56	25	60	36	297	189	63	104
1511_at	2296	2183	1332	1322	224	168	135	168
1512_at	774	630	1495	1952	363	408	144	48
1513_at	236	213	128	113	365	392	177	243
1514_g_at	40	18	113	48	234	83	44	79
1515_at	458	328	365	312	850	897	248	183
1516_g_at	813	511	656	594	1222	1633	221	117
1517_at	93	133	105	203	281	303	122	145
1518_at	27	28	35	34	57	36	90	50
1519_at	762	894	426	384	1131	1379	544	528
152_f_at	31	43	51	48	68	59	102	104
1520_s_at	73	53	95	56	85	80	67	103
1521_at	1673	1373	991	987	827	827	721	825
1522_at	35	24	38	26	56	40	43	49
1523_g_at	421	373	393	392	632	357	568	584
1524_at	527	312	677	530	858	400	704	785
1525_s_at	23	25	17	31	26	19	33	32
1526_i_at	35	11	20	30	29	11	22	19
1527_s_at	465	429	324	272	408	474	277	281
1528_at	35	15	47	31	33	19	36	39
1529_at	416	404	1313	1277	150	155	164	168
153_f_at	174	76	60	82	227	236	53	97
1530_g_at	101	114	442	468	7	15	20	10
1531_at	79	93	196	138	172	83	14	44
1532_g_at	334	337	769	536	194	202	213	343
1533_at	92	17	136	172	27	14	41	25
1534_at	64	64	155	183	62	22	119	105
1535_at	262	384	836	675	83	157	49	88
1536_at	18	26	10	7	33	88	17	17
1537_at	191	268	235	299	865	632	1106	977
1538_s_at	14	4	16	11	21	13	11	15
1539_at	24	34	202	185	108	102	24	31
154_at	10	4	13	59	104	40	5	7
1540_f_at	117	106	151	115	182	154	193	278
1541_f_at	152	25	49	34	77	54	70	160
1542_at	426	375	828	605	1091	899	887	898
1543_at	17	5	20	59	29	14	17	12
1544_at	44	56	63	135	14	73	7	25
1545_g_at	60	18	87	91	162	63	9	86
1546_at	37	39	42	31	1451	1218	1751	1932
1547_at	198	74	112	206	353	492	429	146
1548_s_at	59	76	87	91	51	157	136	219
1549_s_at	21	11	39	27	164	63	15	103
155_s_at	878	644	1231	1460	570	690	256	303
1550_at	847	1086	395	388	527	771	850	709
1551_g_at	1673	1787	1526	1158	1515	2002	1641	1881
1552_i_at	96	88	281	162	277	136	54	160
1553_r_at	453	645	322	259	558	345	494	606
1554_f_at	158	69	181	135	436	439	2150	3178
1555_f_at	74	42	106	51	454	257	14715	14068
1556_at	471	407	932	988	490	460	334	291
