ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
37810_at	124	108	153	122	271	156	144	254
37811_at	623	1077	558	500	408	343	330	334
37812_at	330	462	1181	1263	20	10	312	411
37813_at	65	79	75	64	231	295	98	57
37814_g_at	219	280	360	215	269	249	311	300
37815_at	21	13	24	18	37	25	81	64
37816_at	26	45	37	60	1505	1885	500	505
37817_at	189	310	295	259	514	380	422	1341
37818_at	277	347	510	374	333	143	350	168
37819_at	201	103	269	280	135	136	60	90
37820_at	112	17	78	22	919	961	2820	2110
37821_at	2305	1844	276	114	45	35	40	50
37822_at	23	21	23	20	26	19	32	35
37823_at	45	31	30	85	17	23	117	195
37824_at	64	31	188	117	37	113	19	121
37825_at	143	59	127	215	66	102	27	27
37826_at	512	157	519	794	266	395	18	40
37827_r_at	177	148	321	447	181	236	131	197
37828_at	228	205	701	826	114	121	84	80
37829_at	43	39	19	57	129	23	135	165
37830_at	17	12	13	16	71	160	69	73
37831_at	235	427	499	580	472	318	186	475
37832_at	283	286	331	215	242	228	1161	719
37833_at	64	37	48	43	4666	4388	9161	6747
37834_at	324	755	220	174	205	229	155	153
37835_at	97	55	183	144	82	124	308	232
37836_at	120	160	186	125	87	137	110	65
37837_at	174	115	251	271	100	100	50	61
37838_at	118	82	112	95	2215	2502	7511	5393
37839_at	2461	1990	3400	3215	435	487	292	513
37840_at	11	10	17	11	111	80	46	23
37841_at	100	53	77	107	15	13	77	175
37842_at	55	13	67	82	14	12	89	10
37843_i_at	181	273	153	206	690	508	449	229
37844_at	185	211	357	373	198	230	169	172
37845_at	40	41	67	114	89	249	246	70
37846_at	64	25	48	37	44	39	50	57
37847_at	266	288	82	49	76	62	132	55
37848_at	14	4	46	65	23	8	3	10
37849_at	1652	2126	2423	2757	104	53	42	158
37850_at	202	274	56	52	38	18	40	42
37851_at	41	61	49	18	66	47	66	41
37852_at	793	488	638	627	49	18	29	20
37853_at	608	708	651	564	620	723	1094	1037
37854_at	19	25	18	84	27	10	18	9
37855_at	45	84	38	65	150	152	420	445
37856_at	29	21	32	47	47	52	101	155
37857_at	322	332	388	324	344	163	251	272
37858_at	29	32	451	398	76	107	101	64
37859_r_at	54	27	80	54	57	9	33	14
37860_at	364	286	785	832	495	549	322	467
37861_at	13	13	23	11	32	15	37	22
37862_at	13	31	20	46	51	15	60	128
37863_at	87	144	34	5	25	23	7	14
37864_s_at	105	124	191	143	197	274	5277	4298
37865_at	159	160	232	118	101	175	127	215
37866_at	87	86	27	103	81	44	22	24
37867_at	865	702	182	93	216	65	64	156
37868_s_at	1080	958	187	231	110	223	142	358
37869_at	403	236	798	1009	375	329	406	374
37870_at	73	142	75	53	244	86	90	124
37871_at	12	1	72	10	17	13	68	15
37872_at	959	755	1543	1414	782	635	1096	759
37873_g_at	224	189	278	266	311	89	249	194
37874_at	23	9	53	48	347	550	894	1268
37875_at	83	83	371	190	201	114	254	342
37876_at	26	4	30	35	5	6	8	7
37877_at	239	344	185	158	330	319	214	59
37878_at	146	94	188	134	48	38	129	161
37879_r_at	19	2	2	8	6	0	6	8
37880_at	413	74	166	253	12928	12048	43128	25179
37881_at	17	78	28	77	42	15	70	33
37882_at	120	184	146	229	99	288	49	174
37883_i_at	34	62	76	96	71	14	28	94
37884_f_at	138	70	89	72	166	99	63	180
37885_at	1318	687	469	106	272	61	483	356
37886_at	147	308	502	339	541	405	292	226
37887_at	29	24	23	15	34	23	33	17
37888_at	286	402	462	632	742	784	952	683
37889_at	15	12	17	9	16	8	34	18
37890_at	388	290	694	482	737	672	150	338
37891_at	288	198	347	379	295	330	249	273
37892_at	298	65	687	657	33	10	19	32
37893_at	172	124	326	716	312	366	339	457
37894_at	198	96	293	243	209	134	221	143
37895_at	357	267	905	984	138	175	96	40
37896_at	62	25	56	16	60	55	63	87
37897_s_at	23	16	289	93	268	203	197	299
37898_r_at	2942	2691	4663	4033	6776	5241	4489	5406
37899_at	97	39	104	87	379	466	37	55
379_at	118	43	117	164	43	93	8	8
37900_at	907	933	771	748	337	504	498	398
37901_at	50	40	157	25	60	50	124	36
37902_at	236	152	193	167	1189	1429	302	273
37903_at	225	316	87	60	293	281	537	440
37904_s_at	641	581	443	347	527	454	609	477
37905_r_at	757	976	1143	701	1311	922	1427	1375
37906_at	94	72	56	42	81	66	56	53
37907_at	443	856	513	440	483	536	718	1134
37908_at	192	84	61	80	308	335	268	239
37909_at	22	90	48	62	35	13	41	206
37910_at	400	916	599	698	371	379	430	524
37911_at	663	569	515	441	495	637	608	673
37912_at	252	590	1320	1198	915	755	498	726
37913_at	60	56	51	27	206	67	83	94
37914_at	130	101	175	217	25	70	69	10
37915_at	417	245	993	868	108	260	187	255
37916_at	1182	1483	541	512	786	717	1069	2319
37917_at	115	39	270	143	21	13	26	24
37918_at	229	147	28	35	383	191	176	51
37919_at	29	19	15	13	29	23	35	22
37920_at	54	40	64	56	70	30	56	72
37921_at	2168	2549	591	524	128	75	46	86
37922_at	284	266	260	222	322	317	403	529
37923_at	63	34	54	55	2102	2335	3960	2379
37924_g_at	195	185	304	311	19802	16069	28936	20525
37925_r_at	446	284	854	904	3527	3132	6605	5078
37926_at	90	166	182	165	296	239	348	583
37927_at	62	35	43	54	75	52	50	46
37928_at	615	729	1685	1493	325	351	219	273
37929_at	1760	1056	1658	2380	557	742	1104	1172
37930_at	28	120	129	82	653	529	314	161
